Selfish Miner Profit, Selfish Miner Cost/Sec, Selfish Miner Avg Cost Per Block
0.470416, 1, 600.044
0.488405, 1, 600.002
0.494933, 1, 600.041
0.482858, 1, 600.025
0.478568, 1, 600.009
0.476434, 1, 600.012
0.488358, 1, 600.024
0.473224, 2, 1200.09
0.486734, 2, 1200.06
0.473286, 2, 1200.08
0.496411, 2, 1200.02
0.477144, 3, 1800.04
0.49805, 3, 1800.05
0.472373, 3, 1800.02
0.490949, 4, 2400.04
0.501007, 4, 2400.08
0.46845, 5, 3000.24
0.486802, 5, 3000.28
0.486689, 6, 3600.15
0.481272, 6, 3600.04
0.476474, 7, 4200.22
0.465901, 8, 4800.1
0.486331, 8, 4800.19
0.497114, 9, 5400.64
0.495766, 10, 6000.42
0.479828, 11, 6600.19
0.476637, 13, 7800.02
0.465481, 14, 8400.17
0.474311, 15, 9000.32
0.468187, 17, 10201.5
0.488266, 19, 11400
0.481978, 21, 12601
0.474984, 23, 13800.5
0.477645, 25, 15000.3
0.507588, 28, 16800.5
0.487803, 30, 18000.6
0.475397, 34, 20400.7
0.509002, 37, 22201.6
0.496219, 41, 24601.7
0.466979, 45, 27001.4
0.490058, 49, 29400.6
0.494654, 54, 32402.8
0.491553, 60, 36001.2
0.473058, 66, 39603
0.474533, 72, 43202.2
0.46791, 80, 48001.9
0.49859, 88, 52802.4
0.490787, 97, 58203.7
0.506458, 106, 63601.6
0.47596, 117, 70203
0.478343, 129, 77400.8
0.474814, 142, 85202.4
0.473595, 156, 93604.9
0.490266, 171, 102603
0.490067, 189, 113404
0.467363, 207, 124201
0.471503, 228, 136801
0.495757, 251, 150607
0.491354, 276, 165630
0.472968, 304, 182403
0.482861, 334, 200401
0.477531, 368, 220807
0.487477, 405, 243020
0.488817, 445, 267027
0.472269, 490, 294022
0.491684, 539, 323401
0.489635, 593, 355800
0.47488, 652, 391229
0.479905, 717, 430209
0.471764, 789, 473431
0.481891, 868, 520845
0.471211, 955, 573005
0.483118, 1051, 630644
0.477879, 1156, 693675
0.48844, 1271, 762662
0.474586, 1399, 839403
0.481105, 1538, 922929
0.490406, 1692, 1.01532e+06
0.488958, 1862, 1.11726e+06
0.473892, 2048, 1.22885e+06
0.473978, 2253, 1.35184e+06
0.462583, 2478, 1.48682e+06
0.475467, 2726, 1.63569e+06
0.479222, 2999, 1.79942e+06
0.490434, 3298, 1.97893e+06
0.484406, 3628, 2.17687e+06
0.478747, 3991, 2.39464e+06
0.490157, 4390, 2.63413e+06
0.481572, 4830, 2.89801e+06
0.48744, 5313, 3.18791e+06
0.484856, 5844, 3.50644e+06
0.471924, 6428, 3.85689e+06
0.471899, 7071, 4.24364e+06
0.462612, 7778, 4.66719e+06
0.496434, 8556, 5.13368e+06
0.484225, 9412, 5.64728e+06
0.482995, 10353, 6.21229e+06
0.467073, 11388, 6.83295e+06
0.468041, 12527, 7.51645e+06
0.493886, 13780, 8.26813e+06
0.473401, 15158, 9.09532e+06
0.472919, 16674, 1.00044e+07
0.475227, 18341, 1.10048e+07
0.468153, 20176, 1.21062e+07
0.476849, 22193, 1.3316e+07
0.478216, 24413, 1.46513e+07
0.475374, 26854, 1.61135e+07
0.475033, 29539, 1.77235e+07
0.474913, 32493, 1.94973e+07
0.466635, 35743, 2.14459e+07
0.458108, 39317, 2.3594e+07
0.471525, 43249, 2.59537e+07
0.477132, 47574, 2.8545e+07
0.477884, 52331, 3.13998e+07
0.471965, 57565, 3.45392e+07
0.447894, 63321, 3.79945e+07
0.452167, 69653, 4.17924e+07
0.453588, 76619, 4.59724e+07
0.470803, 84280, 5.05685e+07
0.445092, 92709, 5.56276e+07
0.465063, 101979, 6.1188e+07
0.455894, 112177, 6.73083e+07
0.447142, 123395, 7.40392e+07
0.462294, 135735, 8.14464e+07
0.436076, 149308, 8.95902e+07
0.454706, 164239, 9.85461e+07
0.438825, 180663, 1.08399e+08
0.437491, 198730, 1.19253e+08
0.426422, 218603, 1.31171e+08
0.42173, 240463, 1.44289e+08
0.422787, 264509, 1.5871e+08
0.395458, 290960, 1.7459e+08
0.42368, 320056, 1.92039e+08
0.379964, 352062, 2.11238e+08
0.412796, 387268, 2.32368e+08
0.370372, 425995, 2.55601e+08
0.35982, 468595, 2.81161e+08
0.350995, 515454, 3.09292e+08
0.338066, 567000, 3.40217e+08
0.323245, 623700, 3.74226e+08
0.326887, 686070, 4.11654e+08
0.305626, 754677, 4.5287e+08
0.296713, 830145, 4.98089e+08
0.267709, 913159, 5.47898e+08
0.23945, 1004475, 6.02723e+08
0.215651, 1104923, 6.62968e+08
0.18958, 1215415, 7.29364e+08
0.158857, 1336956, 8.0224e+08
0.135366, 1470652, 8.82407e+08
0.0920405, 1617717, 9.70714e+08
0.066652, 1779489, 1.0677e+09
0.00625381, 1957438, 1.17447e+09
-0.0416037, 2153182, 1.29191e+09
