Selfish Miner Profit, Selfish Miner Network Delay, Honest Miner Network Delay
0.998101, 1e-11, 0
0.966312, 1e-10, 0
0.983287, 1e-09, 0
0.991428, 1e-08, 0
0.968263, 1e-07, 0
0.937013, 1e-06, 0
0.977326, 1e-05, 0
0.971102, 0.0001, 0
0.989552, 0.001, 0
0.988944, 0.01, 0
0.9836, 0.1, 0
0.991205, 1, 0
0.973152, 10, 0
0.996907, 100, 0
0.0968098, 1000, 0
0.995563, 10000, 0
0.037435, 100000, 0
0.274267, 1e+06, 0
0.983725, 1e+07, 0
0.0873423, 1e+08, 0
0.669127, 1e+09, 0
0.977312, 1e+10, 0
0.497744, 1e+11, 0
0.0120801, 1e+12, 0
0.572974, 1e+13, 0
