Selfish Miner Profit, Selfish Miner Network Delay, Honest Miner Network Delay
0.491672, 1e-11, 0
0.4829, 1e-10, 0
0.427534, 1e-09, 0
0.424537, 1e-08, 0
0.428063, 1e-07, 0
0.463626, 1e-06, 0
0.455929, 1e-05, 0
0.426777, 0.0001, 0
0.4448, 0.001, 0
0.437437, 0.01, 0
0.43725, 0.1, 0
0.425115, 1, 0
0.441034, 10, 0
0.378929, 100, 0
0.082697, 1000, 0
0.000172415, 10000, 0
0, 100000, 0
0, 1e+06, 0
0, 1e+07, 0
0, 1e+08, 0
0, 1e+09, 0
0.00161562, 1e+10, 0
0, 1e+11, 0
0.000123652, 1e+12, 0
0.000224132, 1e+13, 0
