Classic Selfish Miner Profit, Classic Selfish Miner Alpha, Clever Selfish Miner Profit, Clever Selfish Miner Alpha, honest Profitability
0, 0, 0.995465, 0.5,0.00453469
0.00434305, 0.02, 0.791699, 0.48,0.203958
0.009894, 0.04, 0.734106, 0.46,0.256
0.0233317, 0.06, 0.672841, 0.44,0.303827
0.0361629, 0.08, 0.607535, 0.42,0.356302
0.0503648, 0.1, 0.560127, 0.4,0.389509
0.0788184, 0.12, 0.503975, 0.38,0.417207
0.101498, 0.14, 0.472083, 0.36,0.426419
0.116964, 0.16, 0.440396, 0.34,0.44264
0.144009, 0.18, 0.412893, 0.32,0.443098
0.173493, 0.2, 0.377188, 0.3,0.449319
0.197228, 0.22, 0.348367, 0.28,0.454405
0.231643, 0.24, 0.313166, 0.26,0.455191
0.264835, 0.26, 0.276876, 0.24,0.458289
0.299206, 0.28, 0.241934, 0.22,0.45886
0.319482, 0.3, 0.224846, 0.2,0.455672
0.351481, 0.32, 0.189145, 0.18,0.459374
0.41029, 0.34, 0.159665, 0.16,0.430045
0.446967, 0.36, 0.136308, 0.14,0.416725
0.487309, 0.38, 0.108812, 0.12,0.403878
0.538578, 0.4, 0.0833066, 0.1,0.378116
0.59872, 0.42, 0.0595117, 0.08,0.341769
0.66738, 0.44, 0.0354897, 0.06,0.297131
0.742935, 0.46, 0.0186703, 0.04,0.238395
0.848923, 0.48, 0.00637929, 0.02,0.144698
0.965288, 0.5, 0, 0,0.0347118
