Selfish Miner Profit, Selfish Miner Cost
0.981313, 1
0.957629, 1
0.966022, 1
0.987145, 1
0.949662, 1
0.988213, 1
0.989815, 1
0.964097, 2
0.959286, 2
0.99133, 2
0.986386, 2
0.975872, 3
0.938359, 3
0.952012, 3
0.955126, 4
0.987598, 4
0.989938, 5
0.982048, 5
0.968308, 6
0.95744, 6
0.988222, 7
0.98043, 8
0.964237, 8
0.99142, 9
0.965011, 10
0.967445, 11
0.934053, 13
0.973683, 14
0.989529, 15
0.947713, 17
0.997741, 19
0.977298, 21
0.992888, 23
0.999994, 25
0.99039, 28
0.957119, 30
0.990173, 34
0.991155, 37
0.99846, 41
0.991669, 45
0.954962, 49
0.996394, 54
0.969792, 60
0.953451, 66
0.988757, 72
0.989124, 80
0.926017, 88
0.964008, 97
0.981968, 106
0.990401, 117
0.972259, 129
0.939407, 142
0.97803, 156
0.993296, 171
0.982851, 189
0.941691, 207
0.967141, 228
0.993694, 251
0.96444, 276
0.999427, 304
0.998339, 334
0.965673, 368
0.956461, 405
0.98188, 445
0.98313, 490
0.96041, 539
0.957884, 593
0.957179, 652
0.966924, 717
0.987632, 789
0.981481, 868
0.966583, 955
0.982364, 1051
0.960304, 1156
0.992757, 1271
0.97575, 1399
0.967338, 1538
0.947709, 1692
0.963805, 1862
0.952603, 2048
0.990857, 2253
0.987981, 2478
0.961959, 2726
0.970101, 2999
0.981759, 3298
0.994213, 3628
0.989903, 3991
0.979245, 4390
0.944493, 4830
0.965652, 5313
0.985691, 5844
0.971596, 6428
0.990735, 7071
0.983948, 7778
0.996038, 8556
0.991231, 9412
0.953688, 10353
0.982024, 11388
0.970446, 12527
0.969314, 13780
0.952136, 15158
0.974362, 16674
0.987663, 18341
0.99091, 20176
0.990542, 22193
0.983388, 24413
0.956024, 26854
0.937117, 29539
0.95015, 32493
0.957862, 35743
0.972538, 39317
0.970387, 43249
0.984431, 47574
0.945717, 52331
0.973169, 57565
0.934304, 63321
0.954313, 69653
0.918921, 76619
0.934811, 84280
0.946469, 92709
0.946112, 101979
0.960859, 112177
0.96197, 123395
0.930026, 135735
0.961087, 149308
0.957197, 164239
0.92975, 180663
0.935525, 198730
0.905844, 218603
0.932703, 240463
0.863265, 264509
0.914548, 290960
0.882916, 320056
0.894323, 352062
0.887959, 387268
0.897146, 425995
0.88695, 468595
0.815176, 515454
0.858506, 567000
0.832137, 623700
0.795698, 686070
0.815768, 754677
0.800609, 830145
0.765415, 913159
0.72882, 1004475
0.734668, 1104923
0.660294, 1215415
0.638375, 1336956
0.605016, 1470652
0.572924, 1617717
0.567674, 1779489
0.47196, 1957438
0.480338, 2153182
0.407532, 2368500
0.360539, 2605350
0.272486, 2865885
0.241834, 3152474
0.166236, 3467721
0.0440295, 3814494
-0.0816161, 4195943
