Selfish Miner Profit, Selfish Miner Network Delay, Honest Miner Network Delay
0.537584, 1e-11, 0
0.530465, 1e-10, 0
0.494015, 1e-09, 0
0.485389, 1e-08, 0
0.496649, 1e-07, 0
0.501237, 1e-06, 0
0.485967, 1e-05, 0
0.509812, 0.0001, 0
0.503172, 0.001, 0
0.494574, 0.01, 0
0.490383, 0.1, 0
0.507138, 1, 0
0.469499, 10, 0
0.420516, 100, 0
0.0932949, 1000, 0
0.000527766, 10000, 0
0, 100000, 0
0.000451699, 1e+06, 0
0, 1e+07, 0
0.000600394, 1e+08, 0
0.000118072, 1e+09, 0
1.48333e-05, 1e+10, 0
0.000113157, 1e+11, 0
0.000431511, 1e+12, 0
0, 1e+13, 0
