Classic Selfish Miner Profit, Classic Selfish Miner Alpha, Clever Selfish Miner Profit, Clever Selfish Miner Alpha, honest Profitability
0, 0, 0.976466, 0.5,0.0235339
0.00363945, 0.02, 0.846397, 0.48,0.149964
0.0140215, 0.04, 0.725822, 0.46,0.260156
0.027703, 0.06, 0.656928, 0.44,0.315369
0.0386007, 0.08, 0.613872, 0.42,0.347527
0.057911, 0.1, 0.549771, 0.4,0.392318
0.0725303, 0.12, 0.53396, 0.38,0.393509
0.0914492, 0.14, 0.480608, 0.36,0.427943
0.123999, 0.16, 0.453673, 0.34,0.422328
0.148464, 0.18, 0.416949, 0.32,0.434587
0.177392, 0.2, 0.384118, 0.3,0.43849
0.210286, 0.22, 0.348982, 0.28,0.440731
0.242272, 0.24, 0.31844, 0.26,0.439288
0.266218, 0.26, 0.283238, 0.24,0.450545
0.313241, 0.28, 0.254059, 0.22,0.432701
0.35366, 0.3, 0.205491, 0.2,0.440849
0.371205, 0.32, 0.191672, 0.18,0.437123
0.411588, 0.34, 0.175464, 0.16,0.412948
0.458253, 0.36, 0.136385, 0.14,0.405362
0.512457, 0.38, 0.105822, 0.12,0.381721
0.545743, 0.4, 0.082397, 0.1,0.37186
0.615324, 0.42, 0.0609096, 0.08,0.323766
0.666279, 0.44, 0.0421885, 0.06,0.291532
0.757132, 0.46, 0.0216618, 0.04,0.221206
0.858316, 0.48, 0.00794754, 0.02,0.133737
0.986584, 0.5, 0, 0,0.0134158
