Classic Selfish Miner Profit, Classic Selfish Miner Alpha, Clever Selfish Miner Profit, Clever Selfish Miner Alpha, honest Profitability
0, 0, 0.98874, 0.5,0.0112596
0.00225965, 0.02, 0.867006, 0.48,0.130734
0.00938123, 0.04, 0.744758, 0.46,0.245861
0.0232289, 0.06, 0.640205, 0.44,0.336566
0.0363041, 0.08, 0.617743, 0.42,0.345953
0.054667, 0.1, 0.536286, 0.4,0.409047
0.070709, 0.12, 0.518293, 0.38,0.410998
0.101246, 0.14, 0.4683, 0.36,0.430454
0.111004, 0.16, 0.433536, 0.34,0.45546
0.15318, 0.18, 0.396582, 0.32,0.450238
0.181464, 0.2, 0.36191, 0.3,0.456626
0.19461, 0.22, 0.343098, 0.28,0.462292
0.219404, 0.24, 0.306337, 0.26,0.474258
0.271212, 0.26, 0.257904, 0.24,0.470885
0.300556, 0.28, 0.225746, 0.22,0.473697
0.313506, 0.3, 0.199348, 0.2,0.487146
0.372249, 0.32, 0.174131, 0.18,0.45362
0.413393, 0.34, 0.146102, 0.16,0.440505
0.448659, 0.36, 0.127297, 0.14,0.424045
0.504053, 0.38, 0.0935596, 0.12,0.402388
0.552856, 0.4, 0.0732507, 0.1,0.373893
0.58343, 0.42, 0.0589021, 0.08,0.357668
0.678517, 0.44, 0.0337945, 0.06,0.287689
0.736908, 0.46, 0.0199952, 0.04,0.243096
0.826627, 0.48, 0.00507045, 0.02,0.168303
0.979778, 0.5, 0, 0,0.0202217
