Selfish Miner Profit, Selfish Miner Cost
0.254053, 1
0.254777, 1
0.255501, 1
0.242171, 1
0.255522, 1
0.247952, 1
0.260966, 1
0.256974, 2
0.255668, 2
0.258391, 2
0.25882, 2
0.246657, 3
0.258382, 3
0.256042, 3
0.249403, 4
0.254842, 4
0.238235, 5
0.246867, 5
0.248388, 6
0.252238, 6
0.24957, 7
0.244698, 8
0.249417, 8
0.247421, 9
0.253728, 10
0.255525, 11
0.2534, 13
0.246954, 14
0.255108, 15
0.257195, 17
0.255098, 19
0.251036, 21
0.243313, 23
0.250174, 25
0.249926, 28
0.251762, 30
0.247329, 34
0.249568, 37
0.249754, 41
0.262691, 45
0.257737, 49
0.243148, 54
0.257284, 60
0.253191, 66
0.250975, 72
0.238977, 80
0.250932, 88
0.254902, 97
0.245527, 106
0.258125, 117
0.258566, 129
0.247188, 142
0.250541, 156
0.249665, 171
0.24492, 189
0.238842, 207
0.250501, 228
0.257472, 251
0.256946, 276
0.253078, 304
0.249139, 334
0.246631, 368
0.248218, 405
0.252125, 445
0.236081, 490
0.251954, 539
0.254815, 593
0.240244, 652
0.234886, 717
0.256104, 789
0.251829, 868
0.258039, 955
0.244388, 1051
0.246274, 1156
0.241862, 1271
0.255848, 1399
0.24208, 1538
0.240081, 1692
0.259749, 1862
0.253267, 2048
0.249491, 2253
0.253207, 2478
0.249186, 2726
0.253202, 2999
0.245929, 3298
0.241782, 3628
0.25652, 3991
0.247901, 4390
0.250819, 4830
0.253323, 5313
0.237824, 5844
0.247464, 6428
0.25542, 7071
0.252275, 7778
0.246266, 8556
0.249138, 9412
0.254079, 10353
0.250296, 11388
0.242814, 12527
0.24446, 13780
0.249873, 15158
0.24044, 16674
0.248094, 18341
0.247215, 20176
0.249051, 22193
0.24286, 24413
0.235894, 26854
0.245365, 29539
0.237838, 32493
0.234642, 35743
0.238386, 39317
0.23392, 43249
0.248905, 47574
0.239295, 52331
0.239602, 57565
0.235926, 63321
0.234624, 69653
0.233596, 76619
0.224855, 84280
0.227422, 92709
0.225882, 101979
0.220989, 112177
0.219348, 123395
0.219322, 135735
0.21381, 149308
0.219636, 164239
0.209325, 180663
0.217759, 198730
0.196973, 218603
0.189132, 240463
0.191357, 264509
0.174203, 290960
0.164691, 320056
0.170741, 352062
0.154422, 387268
0.146011, 425995
0.144902, 468595
0.130271, 515454
0.124349, 567000
0.105109, 623700
0.0776508, 686070
0.0678821, 754677
0.0582794, 830145
0.0346293, 913159
0.0195486, 1004475
-0.0113794, 1104923
