Classic Selfish Miner Profit, Classic Selfish Miner Alpha, Clever Selfish Miner Profit, Clever Selfish Miner Alpha, honest Profitability
0, 0, 0.968942, 0.5,0.0310578
0.00281804, 0.02, 0.829307, 0.48,0.167875
0.0109597, 0.04, 0.711494, 0.46,0.277546
0.0198269, 0.06, 0.657637, 0.44,0.322536
0.0366023, 0.08, 0.597991, 0.42,0.365407
0.0587358, 0.1, 0.541764, 0.4,0.3995
0.0698805, 0.12, 0.505525, 0.38,0.424595
0.0899313, 0.14, 0.473933, 0.36,0.436135
0.120087, 0.16, 0.415997, 0.34,0.463916
0.132584, 0.18, 0.408999, 0.32,0.458417
0.16674, 0.2, 0.349358, 0.3,0.483903
0.201006, 0.22, 0.32352, 0.28,0.475474
0.230846, 0.24, 0.2894, 0.26,0.479754
0.250906, 0.26, 0.249828, 0.24,0.499266
0.290189, 0.28, 0.221274, 0.22,0.488537
0.319156, 0.3, 0.204788, 0.2,0.476055
0.35482, 0.32, 0.173222, 0.18,0.471958
0.404461, 0.34, 0.134562, 0.16,0.460977
0.439108, 0.36, 0.124688, 0.14,0.436204
0.486008, 0.38, 0.0976471, 0.12,0.416345
0.53948, 0.4, 0.0761862, 0.1,0.384334
0.587987, 0.42, 0.0472781, 0.08,0.364735
0.645451, 0.44, 0.0348371, 0.06,0.319712
0.738328, 0.46, 0.0170304, 0.04,0.244642
0.843623, 0.48, 0.00435421, 0.02,0.152023
0.962508, 0.5, 0, 0,0.0374922
